"months","inpat_no_age","inpat_llAb_age"
1,158.655010523836,90.3946416560367
2,231.024184995654,127.854863334618
3,581.269735592247,301.649045208421
4,579.565694749659,281.00435245994
5,1012.56632801343,461.976366294636
6,859.487927172175,859.487927172175
7,368.494106611807,368.494106611807
8,332.552959496679,332.552959496679
9,314.128539644001,314.128539644001
10,285.662221606703,285.662221606703
11,258.782014643768,258.782014643768
12,234.86754574273,234.86754574273
13,195.868438289849,195.868438289849
14,173.159073122412,173.159073122412
15,147.109946062304,147.109946062304
16,124.529435478783,124.529435478783
17,104.77143070887,104.77143070887
18,93.4071632240208,93.4071632240208
19,85.7861134568765,85.7861134568765
20,79.0521466365957,79.0521466365957
21,76.2461993399592,76.2461993399592
22,70.9022349210344,70.9022349210344
23,65.6200100878561,65.6200100878561
24,60.8627269233453,60.8627269233453
25,52.1615208020779,52.1615208020779
26,46.1294831457684,46.1294831457684
27,39.1869258811859,39.1869258811859
28,33.0512109740802,33.0512109740802
29,27.5399921863723,27.5399921863723
30,24.1117728640157,24.1117728640157
31,21.6122777582354,21.6122777582354
32,19.2654063093999,19.2654063093999
33,17.8163837287875,17.8163837287875
34,15.7246365533484,15.7246365533484
35,13.5830142528164,13.5830142528164
36,11.4842481342912,11.4842481342912
